,1,2,3,,,,,,,,,,,固态或半固态废物特征,,,液态废物特征,固态废物特征,,,,,,,固态废物特征,液态废物特征,工业组成分析（单位%，总和=1）,,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物相组成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,污染物含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,有机污染物（mg/kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,
煤化工报告煤化工残渣环境风险评价,蒸馏精馏,煤化工,焦油渣,,山焦焦油渣,,,,固态,粘稠状,板状、粗糙、团聚,黑色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.902,763.942,142.435,,54.013,,,6.74,50.548,,307.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煤化工报告煤化工残渣环境风险评价,蒸馏精馏,煤化工,焦油渣,,潞安焦油渣,,,,固态,粘稠状,板状、粗糙、团聚,黑色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.62,523.718,336.476,,99.223,,,7.833,96.655,,422.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煤化工报告煤化工残渣环境风险评价,蒸馏精馏,煤化工,焦油渣,,中煤龙化中温焦油初沉渣,,,,固态,粘稠状,板状、粗糙、团聚,黑色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,224,20,46,246,212,356,348,1230,1244,1314,338,1138,1308,424,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自测煤化工行业固体废物产生和污染特性调研报告,蒸馏精馏,煤化工,焦油渣,机械澄清槽,山东莱钢机械澄清槽焦油渣,,,,固态,粘稠状,板状、粗糙、团聚,黑色,有刺激性气味,11.5,1280,,,,,,,,,6.88,,,39.07,6.21,,,0.81,30.82,3.57,1.2,45.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,0.0107,0.105,0.0847,0.635,,0.0383,0.687,,0.0237,,,,,,,,,,0.002,,0.0088,0.0032,,,,,,,,,,,,0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,137,420,,4.3,,,0.596,3.5,,8.2,0.679,,61.6,,,,,,,,,,,,39434,8436,520,6380,190,5152,12642,6936,3794,3650,2506,1975,2359,1028,290,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王瑞宁精苯生产中废酸、酸焦油的综合处理和利用,蒸馏精馏,煤化工,精苯酸焦油,粗苯洗涤工序,新余钢铁有限责任公司焦化厂粗苯加工产生的精苯酸焦油,,,,液态,粘稠状,无,黑褐色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李连顺焦化酸焦油的处置利用,蒸馏精馏,煤化工,精苯酸焦油,轻苯酸洗产生,煤焦化精苯酸焦油,,,,液态,粘稠状,无,黑褐色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李连顺焦化酸焦油的处置利用,蒸馏精馏,煤化工,硫铵酸焦油,蒸氨塔饱和器,硫酸吸收煤气中的氨制取硫酸铵产生的硫铵酸焦油,,,,液态,粘稠状,无,黑褐色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴朝香酸焦油处理新工艺技术研究,蒸馏精馏,煤化工,精苯酸焦油,焦油分离器,潍坊振兴日升化工有限公司的废料,,,,液态,粘稠状,无,黑褐色,有刺激性气味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
齐婳酸焦油聚合物配煤炼焦的试验研究,蒸馏精馏,煤化工,精苯酸焦油,精苯车间,济南钢铁集团总公司焦化厂苯精制酸洗产生,,,,液态,粘稠状,无,黑褐色,有刺激性气味,,,,,,,,,,10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴样明焦油渣制型煤技术的实践,蒸馏精馏,煤化工,硫铵酸焦油,硫铵工序,韶钢焦化厂硫铵工序产生,,,,液态,粘稠状,无,黑色,有刺激性气味,22.9,,,,,,,,,,,,,75.4,2.5,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安斌煤焦油中含氧化合物类型及赋存形态研究,蒸馏精馏,煤化工,高温煤焦油,,陕西某焦化厂副产的高温煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1182.9,,160,,,,,,,,,,,0.05,,,,91.8,5.45,0.94,1.12,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安斌煤焦油中含氧化合物类型及赋存形态研究,蒸馏精馏,煤化工,高温煤焦油,,内蒙某焦化厂副产的高温煤焦油煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1182.1,,132,,,,,,,,,,,0.03,,,,91.02,5.49,1.07,1.68,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安斌煤焦油中含氧化合物类型及赋存形态研究,蒸馏精馏,煤化工,低温煤焦油,煤气发生炉,内蒙某企业褐煤鲁奇加压气化副产的煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1060,,46,,,,,,,,,,,0.02,,,,83.47,8.37,0.83,7.14,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安斌煤焦油中含氧化合物类型及赋存形态研究,蒸馏精馏,煤化工,中低温煤焦油,,新疆某企业低阶煤热解提质示范装置副产的煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1010,,38,,,,,,,,,,,,,,,82.85,9.71,0.7,6.52,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李佳昊山西金源高温煤焦油的精细分离及组分加氢,蒸馏精馏,煤化工,高温煤焦油,,山西金源高温煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1167,,,,,,,,,,,,,,,,,87.26,5.954,0.95,0.68,,,,,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邓文安高温煤焦油中的固体颗粒对其临氢热反应生焦的影响,蒸馏精馏,煤化工,高温煤焦油,,煤化工高温煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1125,,6.42,,,,,,,,,,,,,,,87.55,6.77,0.91,4.26,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姬鹏军ICP-AES有机溶剂稀释法测定煤焦油中镍、铁、钒的含量,蒸馏精馏,煤化工,高温煤焦油,,四川攀枝花钢厂的高温煤焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,,1162,,,,,,,,,,,,,,,,,92.752,5.268,1.082,4.2,,,,,,,0.376,,,,,,0.252,,,22.38,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王光耀高温煤焦油用作煤油共处理溶剂反应性能研究,蒸馏精馏,煤化工,高温煤焦油,,煤化工高温煤焦油,,,,液态,粘稠状,无,,,,,,,,,,,,,,,,,,,,,90.98,5.71,1.16,1.83,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵志军浅议高温煤焦油加氢,蒸馏精馏,煤化工,高温煤焦油,,高温煤焦油,,,,液态,粘稠状,无,黑色/黑褐色,,,1210,,,,,,,,,,,,,,,,,91.99,5.81,1.07,,,35.71,9.75,3.89,,,0.46,,2.13,45.99,,,,,1.38,143.7,0.41,1.37,0.5,62.81,,,,,,,,,,,0.000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵志军浅议高温煤焦油加氢,蒸馏精馏,煤化工,中温煤焦油,,中温煤焦油,,,,液态,粘稠状,无,黑色,,,1062,,,,,,,,,,,,,,,,,83.1,6.75,0.88,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵志军浅议高温煤焦油加氢,蒸馏精馏,煤化工,低温煤焦油,,煤化工低温煤焦油,,,,液态,粘稠状,无,,,,986,,2.67,,,,,,,,,,,,,,,85.78,9.23,0.87,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨士亮柱层析法分离高温煤焦油中的轻质组分,蒸馏精馏,煤化工,高温煤焦油,,七台河高温煤焦油,,,,液态,粘稠状,无,黑色,,,1160,,,,,,,,,,,,,,,,,90.61,6.09,0.99,1.72,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冯超辉盛隆高温煤焦油低温萃取分离研究,蒸馏精馏,煤化工,高温煤焦油,,枣矿集团盛隆焦化厂生产的高温煤焦油,,,,液态,粘稠状,无,,,0.17,,,,,,,,,,,,,,0.03,,,,90.8,9,6.15,0.8,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐经圃关于治理煤气站的煤焦油、煤焦油渣污染的试验,蒸馏精馏,煤化工,煤焦油,,第一重型机器厂产生的煤焦油,,,,液态,粘稠状,无,,,,,,,,,,,,,,,,39.33,10.87,,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
章丽萍煤焦化固体残渣污染特性研究,蒸馏精馏,煤化工,煤焦油,机械化氨水澄清槽,河北某煤焦化公司机械化氨水澄清槽产生的煤焦油,,,,液态,粘稠状,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41600,15400,580,13500,34000,9690,21000,12400,6750,5120,6130,1850,3330,1520,550,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.016,0.028,0.011,,,,0.0033,0.0004,,0.002,0.004,0.001,0.002,0.0015,0.002,
任军哲中低温煤焦油加氢转化路径,蒸馏精馏,煤化工,中低温煤焦油,,煤化工中低温煤焦油,,,,液态,粘稠状,无,黑色,,,1017,,7.27,,,,,,,,,,,,,,,83.16,7.94,0.785,,,,,,,,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裴亮军反应温度对煤焦油沥青质加氢转化性能影响,蒸馏精馏,煤化工,中低温煤焦油,,陕北某焦化厂热解后未经处理的全馏分中低温煤焦油,,,,液态,粘稠状,无,黑色,,,1042,,119.4,,,,,,,,,,,,,,,81.5,8.35,1.73,8.11,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙智慧煤焦油沥青质加氢转化动力学,蒸馏精馏,煤化工,中低温煤焦油,,陕北某一焦化企业产的中低温煤焦油,,,,液态,粘稠状,无,黑色,,,1037,,14.74,,,,,,,,,,,0.151,,,,83.5,8.34,1.16,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苑卫军煤气站副产焦油的处置与污染治理,蒸馏精馏,煤化工,低温煤焦油,煤气发生炉,山东煤气发生炉副产焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,2.7,1090,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苑卫军煤气站副产焦油的处置与污染治理,蒸馏精馏,煤化工,低温煤焦油,煤气发生炉,山西煤气发生炉副产焦油,,,,液态,粘稠状,无,黑色,有刺激性气味,2,1060,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩映陶瓷基镍钴双金属催化剂催化重整煤焦油研究,蒸馏精馏,煤化工,低温煤焦油,煤气发生炉,煤化工中低温煤焦油,,,,液态,粘稠状,无,黑色,,14.9,,,,,,,,,,,,,,,,,,78.16,6.41,0.48,14.01,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛学锋中低温煤焦油化学组成及结构的分子水平表征,蒸馏精馏,煤化工,中低温煤焦油,褐煤提质装置,内蒙古某企业霍林河褐煤热解提质装置生产的煤焦油,,,,液态,粘稠状,无,黑色,,28,1003.7,,3.25,,,,,,,,,,,,,,,82.86,8.98,0.41,7.4,,16.2,,3.1,,,0.35,,,13.5,,,,,,31.4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
